date,precipitation_kg/m2
20180101,10
20180102,0.8
20180103,0.7
20180104,4
20180105,6.3
20180106,0
20180107,0
20180108,0
20180109,0
20180110,0
20180111,0
20180112,0.8
20180113,0.9
20180114,0
20180115,0
20180116,19.8
20180117,15.4
20180118,12
20180119,7
20180120,0
20180121,1.6
20180122,0
20180123,0
20180124,13
20180125,7
20180126,0
20180127,0.5
20180128,8.2
20180129,2.1
20180130,8.7
20180131,1.7
20180201,19.3
20180202,5.2
20180203,3.2
20180204,1.3
20180205,0
20180206,0
20180207,0
20180208,0
20180209,0
20180210,0
20180211,0.8
20180212,3.3
20180213,6.2
20180214,0.7
20180215,0
20180216,0
20180217,1.8
20180218,0
20180219,2.9
20180220,0
20180221,0.5
20180222,0.4
20180223,0
20180224,0
20180225,2.9
20180226,0
20180227,0.3
20180228,0.2
20180301,0
20180302,0
20180303,0
20180304,0.5
20180305,2.1
20180306,2.6
20180307,0
20180308,0
20180309,6
20180310,3.5
20180311,0
20180312,13.8
20180313,7.5
20180314,0
20180315,0
20180316,0
20180317,0
20180318,0
20180319,0
20180320,0
20180321,0
20180322,0
20180323,0
20180324,0
20180325,0
20180326,1.2
20180327,0
20180328,0
20180329,0
20180330,0
20180331,0
20180401,0
20180402,0
20180403,0
20180404,3.4
20180405,10.9
20180406,11.9
20180407,0
20180408,0
20180409,4.5
20180410,9.6
20180411,0
20180412,0
20180413,0
20180414,0
20180415,0
20180416,0
20180417,0
20180418,0.4
20180419,0
20180420,0
20180421,0
20180422,0
20180423,0
20180424,11.6
20180425,0
20180426,1.6
20180427,0
20180428,2.2
20180429,0
20180430,0
20180501,9.9
20180502,9.1
20180503,0
20180504,10.4
20180505,0
20180506,0
20180507,0
20180508,0
20180509,0
20180510,0
20180511,1.3
20180512,8.3
20180513,0.8
20180514,0
20180515,0
20180516,0
20180517,0
20180518,0
20180519,0
20180520,0
20180521,0
20180522,0
20180523,0
20180524,0
20180525,0
20180526,0
20180527,0
20180528,0
20180529,0
20180530,0
20180531,0
20180601,0
20180602,0
20180603,3.6
20180604,0
20180605,0
20180606,0
20180607,0
20180608,0
20180609,0
20180610,0
20180611,7.8
20180612,12.7
20180613,0
20180614,2.3
20180615,0
20180616,0
20180617,1
20180618,19.9
20180619,0
20180620,0
20180621,0
20180622,17.6
20180623,0
20180624,0.4
20180625,0
20180626,0
20180627,0
20180628,0
20180629,0.3
20180630,0
20180701,0
20180702,0
20180703,0
20180704,0
20180705,0
20180706,0
20180707,16.3
20180708,5.9
20180709,0.3
20180710,0
20180711,0
20180712,0
20180713,0
20180714,3.6
20180715,6.2
20180716,0
20180717,0
20180718,0
20180719,0
20180720,0.8
20180721,0
20180722,0
20180723,0
20180724,0
20180725,0
20180726,0
20180727,0
20180728,0
20180729,7.9
20180730,7.4
20180731,1.8
20180801,0
20180802,0
20180803,0
20180804,0
20180805,0.8
20180806,0.4
20180807,0
20180808,0
20180809,8.2
20180810,8.7
20180811,0.2
20180812,15.8
20180813,7.5
20180814,0
20180815,3.6
20180816,0.4
20180817,1.3
20180818,2.5
20180819,3.1
20180820,0
20180821,0
20180822,0
20180823,3.7
20180824,22.7
20180825,3.9
20180826,3.6
20180827,2.3
20180828,1.7
20180829,0
20180830,0
20180831,5.3
20180901,0
20180902,0
20180903,0
20180904,0
20180905,0
20180906,0
20180907,0
20180908,0
20180909,6
20180910,0
20180911,13.5
20180912,18.5
20180913,0
20180914,0
20180915,6.4
20180916,0
20180917,6.2
20180918,0
20180919,0.9
20180920,0
20180921,0
20180922,10
20180923,0
20180924,0
20180925,0
20180926,2.7
20180927,0.1
20180928,13
20180929,0
20180930,0.4
20181001,0
20181002,0
20181003,7.4
20181004,0.7
20181005,5.8
20181006,0
20181007,0
20181008,0
20181009,4.5
20181010,0
20181011,0
20181012,0
20181013,0
20181014,0
20181015,0
20181016,3.4
20181017,1.4
20181018,0
20181019,0
20181020,0
20181021,0
20181022,6.3
20181023,6.3
20181024,0
20181025,0
20181026,0
20181027,0.3
20181028,0.9
20181029,0
20181030,10.1
20181031,17
20181101,3.3
20181102,0.7
20181103,3.8
20181104,0
20181105,0
20181106,0
20181107,1.2
20181108,0.7
20181109,0.3
20181110,6.7
20181111,2.2
20181112,15
20181113,0.5
20181114,0
20181115,0
20181116,0
20181117,0
20181118,0
20181119,0
20181120,0.8
20181121,0
20181122,0
20181123,0
20181124,0
20181125,0
20181126,0
20181127,0
20181128,0
20181129,0
20181130,6.3
20181201,3.6
20181202,1.3
20181203,9.2
20181204,10.8
20181205,5.9
20181206,0
20181207,6.7
20181208,9
20181209,9
20181210,0.9
20181211,6.9
20181212,0
20181213,0
20181214,0
20181215,0
20181216,0
20181217,5.1
20181218,0
20181219,0
20181220,8.4
20181221,0.9
20181222,1
20181223,0.5
20181224,0
20181225,0
20181226,0
20181227,1
20181228,0
20181229,0
20181230,0
20181231,0
